date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:19	58746/58746	---M-Z	200	added ('OK')	text/html	etag:%22e57a-6864f7cd-f91ff24a9d3f490e;gz%22	https://www.eduinx.com/	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/index.html	(from )
10:06:19	276/276	---M-Z	200	added ('OK')	text/plain	etag:%221f1-679238a3-78b334ceb0ac0dbb;gz%22	https://www.eduinx.com/robots.txt		(from )
10:06:19	12543/12543	---M--	200	added ('OK')	image/png	etag:%2230ff-679238a3-d47ed6b6491e09bd;;;%22	https://www.eduinx.com/favicon.png	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/favicon.png	(from https://www.eduinx.com/)
10:06:19	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://www.eduinx.com/)
10:06:20	76929/76929	---M-Z	200	added ('OK')	text/css	etag:%2212c81-6855dd54-adb66f7c6e746c24;gz%22	https://www.eduinx.com/assets/css/index.css	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/assets/css/index.css	(from https://www.eduinx.com/)
10:06:20	12100/12100	---M-Z	200	added ('OK')	text/css	etag:%222f44-6855f3be-3763d7ae77b67435;gz%22	https://www.eduinx.com/assets/css/navigation.css	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/assets/css/navigation.css	(from https://www.eduinx.com/)
10:06:20	18042/18042	---M-Z	200	added ('OK')	text/css	etag:%22467a-6855dc65-8bde35fe244aab17;gz%22	https://www.eduinx.com/assets/css/mobile-menu.css	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/assets/css/mobile-menu.css	(from https://www.eduinx.com/)
10:06:20	81803/81803	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Jul%202025%2004:36:20%20GMT	https://www.eduinx.com/assets/images/logo/new_logo.png	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/assets/images/logo/new_logo.png	(from https://www.eduinx.com/)
10:06:21	18565/18565	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2004:36:21%20GMT	https://www.eduinx.com/job-guaranteed-courses.php	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/job-guaranteed-courses.html	(from https://www.eduinx.com/)
10:06:22	42993/42993	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2004:36:21%20GMT	https://www.eduinx.com/courses/data-science-with-generative-ai	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/courses/data-science-with-generative-ai.html	(from https://www.eduinx.com/)
10:06:22	38836/38836	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2004:36:22%20GMT	https://www.eduinx.com/program/generative-ai	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/program/generative-ai.html	(from https://www.eduinx.com/)
10:06:22	68541/68541	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2004:36:22%20GMT	https://www.eduinx.com/courses/ai-in-product-management	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/courses/ai-in-product-management.html	(from https://www.eduinx.com/)
10:06:22	40195/40195	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2004:36:22%20GMT	https://www.eduinx.com/milestone-achievers.php	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/milestone-achievers.html	(from https://www.eduinx.com/)
10:06:22	26740/26740	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2004:36:22%20GMT	https://www.eduinx.com/elevateX.php	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/elevateX.html	(from https://www.eduinx.com/)
10:06:23	20258/20258	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2004:36:23%20GMT	https://www.eduinx.com/about-us.php	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/about-us.html	(from https://www.eduinx.com/)
10:06:23	16904/16904	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2004:36:23%20GMT	https://www.eduinx.com/contact-us.php	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/contact-us.html	(from https://www.eduinx.com/)
10:06:23	67934/67934	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Jul%202025%2004:36:23%20GMT	https://www.eduinx.com/assets/images/partners/Neevlogo.png	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/assets/images/partners/Neevlogo.png	(from https://www.eduinx.com/)
10:06:23	7189/7189	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c15-679238a3-9a2fff628f84a1f1;gz%22	https://www.eduinx.com/assets/images/partners/bajaj.svg	C:/Users/KIRTI%20GARG/OneDrive/Desktop/edu/www.eduinx.com/assets/images/partners/bajaj.svg	(from https://www.eduinx.com/)
